"ID","ITEM","CONDITION","RESPONSE_TIME","ACCURATE","LIST","TYPE","QUESTION","CORRECT_ANSWER","ANSWER_CLEAN"
"P1",35,"Well-formed question",2930.84078334735,"incorrect","List1","Type1","Question 35","Answer X","Answer Y"
"P1",36,"Illusion",4673.97437435945,"correct","List1","Type1","Question 36","Answer X","Answer Y"
"P1",37,"Well-formed control",5378.31945190852,"correct","List1","Type1","Question 37","Answer X","Answer Y"
"P1",38,"Well-formed control",6188.11418790104,"correct","List1","Type1","Question 38","Answer X","Answer Y"
"P1",39,"Illusion",1739.94252799766,"incorrect","List1","Type1","Question 39","Answer X","Answer Y"
"P1",40,"Bad control",1577.1811899328,"correct","List1","Type1","Question 40","Answer X","Answer Y"
"P1",41,"Well-formed control",9991.34664408733,"incorrect","List1","Type1","Question 41","Answer X","Answer Y"
"P2",1,"Bad control",2493.1653740517,"correct","List1","Type1","Question 1","Answer X","Answer Y"
"P2",2,"Well-formed question",5213.2980054591,"incorrect","List1","Type1","Question 2","Answer X","Answer Y"
"P2",3,"Illusion",4220.13396044322,"incorrect","List1","Type1","Question 3","Answer X","Answer Y"
"P2",4,"Well-formed control",955.737498712244,"correct","List1","Type1","Question 4","Answer X","Answer Y"
"P2",5,"Illusion",6550.45862624378,"incorrect","List1","Type1","Question 5","Answer X","Answer Y"
"P2",6,"Illusion",5047.48512508067,"incorrect","List1","Type1","Question 6","Answer X","Answer Y"
"P2",7,"Well-formed question",9173.61769928337,"correct","List1","Type1","Question 7","Answer X","Answer Y"
"P2",8,"Well-formed control",5464.50803834096,"incorrect","List1","Type1","Question 8","Answer X","Answer Y"
"P2",9,"Well-formed control",3581.82863586382,"correct","List1","Type1","Question 9","Answer X","Answer Y"
"P2",10,"Bad control",5032.64367876077,"correct","List1","Type1","Question 10","Answer X","Answer Y"
"P2",11,"Illusion",200,"incorrect","List1","Type1","Question 11","Answer X","Answer Y"
"P2",12,"Well-formed control",1467.09623412065,"correct","List1","Type1","Question 12","Answer X","Answer Y"
"P2",13,"Illusion",6259.94261109739,"correct","List1","Type1","Question 13","Answer X","Answer Y"
"P2",14,"Well-formed control",3575.22406116798,"incorrect","List1","Type1","Question 14","Answer X","Answer Y"
"P2",15,"Bad control",3975.43393375158,"correct","List1","Type1","Question 15","Answer X","Answer Y"
"P2",16,"Well-formed question",3702.93440727734,"incorrect","List1","Type1","Question 16","Answer X","Answer Y"
"P2",17,"Illusion",2085.75662288679,"correct","List1","Type1","Question 17","Answer X","Answer Y"
"P2",18,"Well-formed question",200,"incorrect","List1","Type1","Question 18","Answer X","Answer Y"
"P2",19,"Illusion",5679.41055275503,"dont_know","List1","Type1","Question 19","Answer X","Answer Y"
"P2",20,"Illusion",7163.8556694981,"correct","List1","Type1","Question 20","Answer X","Answer Y"
"P2",21,"Bad control",220.352441239766,"correct","List1","Type1","Question 21","Answer X","Answer Y"
"P2",22,"Bad control",8730.45874838638,"correct","List1","Type1","Question 22","Answer X","Answer Y"
"P2",23,"Well-formed control",6586.95417572058,"incorrect","List1","Type1","Question 23","Answer X","Answer Y"
"P2",24,"Illusion",9249.53850079796,"incorrect","List1","Type1","Question 24","Answer X","Answer Y"
"P2",25,"Well-formed question",662.657428344097,"incorrect","List1","Type1","Question 25","Answer X","Answer Y"
"P2",26,"Illusion",5024.74551292189,"incorrect","List1","Type1","Question 26","Answer X","Answer Y"
"P2",27,"Illusion",4065.34980365604,"incorrect","List1","Type1","Question 27","Answer X","Answer Y"
"P2",28,"Well-formed control",8194.35166188029,"correct","List1","Type1","Question 28","Answer X","Answer Y"
"P2",29,"Illusion",2354.20899378596,"incorrect","List1","Type1","Question 29","Answer X","Answer Y"
"P2",30,"Well-formed question",4082.53730657966,"correct","List1","Type1","Question 30","Answer X","Answer Y"
"P2",31,"Illusion",200,"dont_know","List1","Type1","Question 31","Answer X","Answer Y"
"P2",32,"Well-formed control",1711.43329004399,"correct","List1","Type1","Question 32","Answer X","Answer Y"
"P2",33,"Illusion",4874.62184565974,"correct","List1","Type1","Question 33","Answer X","Answer Y"
"P2",34,"Well-formed control",2010.39398241618,"correct","List1","Type1","Question 34","Answer X","Answer Y"
"P2",35,"Well-formed question",3961.67058673475,"correct","List1","Type1","Question 35","Answer X","Answer Y"
"P2",36,"Bad control",2740.99933407565,"correct","List1","Type1","Question 36","Answer X","Answer Y"
"P2",37,"Well-formed control",7516.85806092513,"incorrect","List1","Type1","Question 37","Answer X","Answer Y"
"P2",38,"Bad control",7766.42759616991,"correct","List1","Type1","Question 38","Answer X","Answer Y"
"P2",39,"Bad control",1652.0981612681,"correct","List1","Type1","Question 39","Answer X","Answer Y"
"P2",40,"Well-formed question",3010.29098691444,"correct","List1","Type1","Question 40","Answer X","Answer Y"
"P2",41,"Well-formed question",9317.97790397314,"incorrect","List1","Type1","Question 41","Answer X","Answer Y"
"P3",1,"Well-formed control",200,"correct","List1","Type1","Question 1","Answer X","Answer Y"
"P3",2,"Bad control",3195.7781415642,"incorrect","List1","Type1","Question 2","Answer X","Answer Y"
"P3",3,"Well-formed question",11574.6471700416,"correct","List1","Type1","Question 3","Answer X","Answer Y"
"P3",4,"Well-formed question",12040.053739391,"dont_know","List1","Type1","Question 4","Answer X","Answer Y"
"P3",5,"Well-formed control",5628.60419080718,"correct","List1","Type1","Question 5","Answer X","Answer Y"
"P3",6,"Well-formed control",1350.88767007701,"correct","List1","Type1","Question 6","Answer X","Answer Y"
"P3",7,"Bad control",4686.11973525514,"incorrect","List1","Type1","Question 7","Answer X","Answer Y"
"P3",8,"Illusion",2077.62327217452,"incorrect","List1","Type1","Question 8","Answer X","Answer Y"
"P3",9,"Well-formed question",9365.12320635455,"correct","List1","Type1","Question 9","Answer X","Answer Y"
"P3",10,"Well-formed question",1206.7911302563,"correct","List1","Type1","Question 10","Answer X","Answer Y"
"P3",11,"Illusion",5765.99009637066,"incorrect","List1","Type1","Question 11","Answer X","Answer Y"
"P3",12,"Well-formed question",6357.27861926755,"incorrect","List1","Type1","Question 12","Answer X","Answer Y"
"P3",13,"Bad control",1851.68629650305,"incorrect","List1","Type1","Question 13","Answer X","Answer Y"
"P3",14,"Illusion",7487.08275469624,"incorrect","List1","Type1","Question 14","Answer X","Answer Y"
"P3",15,"Illusion",1735.44382458496,"incorrect","List1","Type1","Question 15","Answer X","Answer Y"
"P3",16,"Well-formed question",6394.79602488052,"correct","List1","Type1","Question 16","Answer X","Answer Y"
"P3",17,"Well-formed control",9570.3022276032,"incorrect","List1","Type1","Question 17","Answer X","Answer Y"
"P3",18,"Well-formed control",827.458826447217,"correct","List1","Type1","Question 18","Answer X","Answer Y"
"P3",19,"Illusion",8409.35016736263,"incorrect","List1","Type1","Question 19","Answer X","Answer Y"
"P3",20,"Bad control",2674.64455250668,"correct","List1","Type1","Question 20","Answer X","Answer Y"
"P3",21,"Well-formed question",5181.91008564589,"correct","List1","Type1","Question 21","Answer X","Answer Y"
"P3",22,"Illusion",5150.80755035042,"incorrect","List1","Type1","Question 22","Answer X","Answer Y"
"P3",23,"Bad control",2866.07989755538,"incorrect","List1","Type1","Question 23","Answer X","Answer Y"
"P3",24,"Well-formed question",5087.119463562,"correct","List1","Type1","Question 24","Answer X","Answer Y"
"P3",25,"Illusion",200,"incorrect","List1","Type1","Question 25","Answer X","Answer Y"
"P3",26,"Well-formed control",4401.17809492844,"correct","List1","Type1","Question 26","Answer X","Answer Y"
"P3",27,"Well-formed control",8434.54095717206,"correct","List1","Type1","Question 27","Answer X","Answer Y"
"P3",28,"Bad control",200,"correct","List1","Type1","Question 28","Answer X","Answer Y"
"P3",29,"Bad control",200,"correct","List1","Type1","Question 29","Answer X","Answer Y"
"P3",30,"Well-formed question",200,"correct","List1","Type1","Question 30","Answer X","Answer Y"
"P3",31,"Bad control",200,"correct","List1","Type1","Question 31","Answer X","Answer Y"
"P3",32,"Well-formed control",6731.31168376963,"correct","List1","Type1","Question 32","Answer X","Answer Y"
"P3",33,"Illusion",854.429654277386,"correct","List1","Type1","Question 33","Answer X","Answer Y"
"P3",34,"Well-formed question",200,"correct","List1","Type1","Question 34","Answer X","Answer Y"
"P3",35,"Well-formed question",1816.7391892945,"incorrect","List1","Type1","Question 35","Answer X","Answer Y"
"P3",36,"Bad control",2978.35914272087,"correct","List1","Type1","Question 36","Answer X","Answer Y"
"P3",37,"Well-formed control",8564.50149155161,"incorrect","List1","Type1","Question 37","Answer X","Answer Y"
"P3",38,"Well-formed question",200,"correct","List1","Type1","Question 38","Answer X","Answer Y"
"P3",39,"Illusion",8600.99616363635,"incorrect","List1","Type1","Question 39","Answer X","Answer Y"
"P3",40,"Bad control",5401.37189969545,"correct","List1","Type1","Question 40","Answer X","Answer Y"
"P3",41,"Well-formed control",6491.34259696584,"correct","List1","Type1","Question 41","Answer X","Answer Y"
"P4",1,"Well-formed control",1397.35986437129,"incorrect","List1","Type1","Question 1","Answer X","Answer Y"
"P4",2,"Well-formed control",13163.7294204125,"correct","List1","Type1","Question 2","Answer X","Answer Y"
"P4",3,"Well-formed question",3525.81802529717,"correct","List1","Type1","Question 3","Answer X","Answer Y"
"P4",4,"Well-formed question",200,"correct","List1","Type1","Question 4","Answer X","Answer Y"
"P4",5,"Well-formed control",4117.22981545126,"correct","List1","Type1","Question 5","Answer X","Answer Y"
"P4",6,"Illusion",200,"correct","List1","Type1","Question 6","Answer X","Answer Y"
"P4",7,"Illusion",3308.40562363112,"correct","List1","Type1","Question 7","Answer X","Answer Y"
"P4",8,"Bad control",2881.34087320468,"correct","List1","Type1","Question 8","Answer X","Answer Y"
"P4",9,"Well-formed control",7830.9118918615,"correct","List1","Type1","Question 9","Answer X","Answer Y"
"P4",10,"Well-formed question",7764.29072669808,"correct","List1","Type1","Question 10","Answer X","Answer Y"
"P4",11,"Well-formed question",1497.03497174193,"incorrect","List1","Type1","Question 11","Answer X","Answer Y"
"P4",12,"Well-formed question",7029.85912370222,"correct","List1","Type1","Question 12","Answer X","Answer Y"
"P4",13,"Bad control",8552.09626979277,"correct","List1","Type1","Question 13","Answer X","Answer Y"
"P4",14,"Well-formed question",1287.4559985132,"incorrect","List1","Type1","Question 14","Answer X","Answer Y"
"P4",15,"Well-formed question",1763.16783257091,"incorrect","List1","Type1","Question 15","Answer X","Answer Y"
"P4",16,"Well-formed question",6468.96066934795,"correct","List1","Type1","Question 16","Answer X","Answer Y"
"P4",17,"Well-formed control",5739.52013797492,"incorrect","List1","Type1","Question 17","Answer X","Answer Y"
"P4",18,"Bad control",5863.28790352439,"correct","List1","Type1","Question 18","Answer X","Answer Y"
"P4",19,"Bad control",8491.78546855556,"incorrect","List1","Type1","Question 19","Answer X","Answer Y"
"P4",20,"Well-formed question",5516.75714479036,"incorrect","List1","Type1","Question 20","Answer X","Answer Y"
"P4",21,"Illusion",8206.91776755064,"incorrect","List1","Type1","Question 21","Answer X","Answer Y"
"P4",22,"Well-formed question",6368.31162449961,"incorrect","List1","Type1","Question 22","Answer X","Answer Y"
"P4",23,"Well-formed question",5684.80322759977,"correct","List1","Type1","Question 23","Answer X","Answer Y"
"P4",24,"Well-formed question",5513.15090628391,"correct","List1","Type1","Question 24","Answer X","Answer Y"
"P4",25,"Well-formed control",10386.5186155927,"correct","List1","Type1","Question 25","Answer X","Answer Y"
"P4",26,"Bad control",1100.05992783458,"correct","List1","Type1","Question 26","Answer X","Answer Y"
"P4",27,"Well-formed question",200,"correct","List1","Type1","Question 27","Answer X","Answer Y"
"P4",28,"Well-formed control",7454.0295922445,"correct","List1","Type1","Question 28","Answer X","Answer Y"
"P4",29,"Well-formed question",3686.80062281533,"correct","List1","Type1","Question 29","Answer X","Answer Y"
"P4",30,"Well-formed control",5282.30385259504,"incorrect","List1","Type1","Question 30","Answer X","Answer Y"
"P4",31,"Bad control",6454.46282529337,"correct","List1","Type1","Question 31","Answer X","Answer Y"
"P4",32,"Illusion",7133.84899206528,"incorrect","List1","Type1","Question 32","Answer X","Answer Y"
"P4",33,"Well-formed control",3870.62257940407,"correct","List1","Type1","Question 33","Answer X","Answer Y"
"P4",34,"Well-formed control",3661.50355729515,"correct","List1","Type1","Question 34","Answer X","Answer Y"
"P4",35,"Well-formed control",5280.59896757,"dont_know","List1","Type1","Question 35","Answer X","Answer Y"
"P4",36,"Illusion",8247.6119703039,"incorrect","List1","Type1","Question 36","Answer X","Answer Y"
"P4",37,"Well-formed control",6758.30390064507,"correct","List1","Type1","Question 37","Answer X","Answer Y"
"P4",38,"Well-formed control",10980.6004928817,"incorrect","List1","Type1","Question 38","Answer X","Answer Y"
"P4",39,"Well-formed question",4091.42326091348,"incorrect","List1","Type1","Question 39","Answer X","Answer Y"
"P4",40,"Well-formed question",8183.78572245214,"correct","List1","Type1","Question 40","Answer X","Answer Y"
"P4",41,"Well-formed question",7307.52134508328,"incorrect","List1","Type1","Question 41","Answer X","Answer Y"
"P5",1,"Well-formed control",7538.465951554,"correct","List1","Type1","Question 1","Answer X","Answer Y"
"P5",2,"Bad control",5451.54587051666,"correct","List1","Type1","Question 2","Answer X","Answer Y"
"P5",3,"Well-formed control",3798.45310878142,"correct","List1","Type1","Question 3","Answer X","Answer Y"
"P5",4,"Well-formed control",4514.80572405341,"incorrect","List1","Type1","Question 4","Answer X","Answer Y"
"P5",5,"Well-formed question",4947.34713500327,"correct","List1","Type1","Question 5","Answer X","Answer Y"
"P5",6,"Illusion",4600.80445088271,"incorrect","List1","Type1","Question 6","Answer X","Answer Y"
"P5",7,"Well-formed question",7524.98355534264,"correct","List1","Type1","Question 7","Answer X","Answer Y"
"P5",8,"Bad control",3842.28711469447,"correct","List1","Type1","Question 8","Answer X","Answer Y"
"P5",9,"Bad control",3961.87247380378,"correct","List1","Type1","Question 9","Answer X","Answer Y"
"P5",10,"Bad control",2690.65608208584,"correct","List1","Type1","Question 10","Answer X","Answer Y"
"P5",11,"Illusion",3927.54256255819,"incorrect","List1","Type1","Question 11","Answer X","Answer Y"
"P5",12,"Well-formed control",4683.66566181998,"correct","List1","Type1","Question 12","Answer X","Answer Y"
"P5",13,"Well-formed control",200,"incorrect","List1","Type1","Question 13","Answer X","Answer Y"
"P5",14,"Bad control",200,"correct","List1","Type1","Question 14","Answer X","Answer Y"
"P5",15,"Bad control",3955.39269953753,"incorrect","List1","Type1","Question 15","Answer X","Answer Y"
"P5",16,"Well-formed question",3161.06028896429,"correct","List1","Type1","Question 16","Answer X","Answer Y"
"P5",17,"Bad control",490.130293074964,"correct","List1","Type1","Question 17","Answer X","Answer Y"
"P5",18,"Illusion",200,"incorrect","List1","Type1","Question 18","Answer X","Answer Y"
"P5",19,"Well-formed control",3486.129860903,"incorrect","List1","Type1","Question 19","Answer X","Answer Y"
"P5",20,"Illusion",6774.97077343662,"incorrect","List1","Type1","Question 20","Answer X","Answer Y"
"P5",21,"Well-formed control",12407.1895836723,"correct","List1","Type1","Question 21","Answer X","Answer Y"
"P5",22,"Well-formed question",3980.13251791558,"correct","List1","Type1","Question 22","Answer X","Answer Y"
"P5",23,"Well-formed question",9510.89045950669,"correct","List1","Type1","Question 23","Answer X","Answer Y"
"P5",24,"Illusion",4723.54767885894,"incorrect","List1","Type1","Question 24","Answer X","Answer Y"
"P5",25,"Well-formed control",5456.42611316033,"correct","List1","Type1","Question 25","Answer X","Answer Y"
"P5",26,"Well-formed question",5291.94420650232,"incorrect","List1","Type1","Question 26","Answer X","Answer Y"
"P5",27,"Bad control",1504.45727980372,"correct","List1","Type1","Question 27","Answer X","Answer Y"
"P5",28,"Illusion",4239.02130643,"incorrect","List1","Type1","Question 28","Answer X","Answer Y"
"P5",29,"Well-formed control",8781.12120103591,"correct","List1","Type1","Question 29","Answer X","Answer Y"
"P5",30,"Bad control",1875.59210857693,"correct","List1","Type1","Question 30","Answer X","Answer Y"
"P5",31,"Bad control",3190.34775937407,"correct","List1","Type1","Question 31","Answer X","Answer Y"
"P5",32,"Well-formed control",200,"correct","List1","Type1","Question 32","Answer X","Answer Y"
"P5",33,"Well-formed control",6457.79875971214,"incorrect","List1","Type1","Question 33","Answer X","Answer Y"
"P5",34,"Bad control",5482.56013171669,"correct","List1","Type1","Question 34","Answer X","Answer Y"
"P5",35,"Illusion",6756.4570750018,"correct","List1","Type1","Question 35","Answer X","Answer Y"
"P5",36,"Bad control",431.963393211594,"correct","List1","Type1","Question 36","Answer X","Answer Y"
"P5",37,"Well-formed question",4506.22571049945,"correct","List1","Type1","Question 37","Answer X","Answer Y"
"P5",38,"Well-formed question",710.007675452408,"correct","List1","Type1","Question 38","Answer X","Answer Y"
"P5",39,"Bad control",4176.81874379309,"correct","List1","Type1","Question 39","Answer X","Answer Y"
"P5",40,"Illusion",9253.07561634186,"incorrect","List1","Type1","Question 40","Answer X","Answer Y"
"P5",41,"Bad control",2631.67384382484,"incorrect","List1","Type1","Question 41","Answer X","Answer Y"
"P6",1,"Bad control",6378.93447860313,"correct","List1","Type1","Question 1","Answer X","Answer Y"
"P6",2,"Well-formed question",1411.94674287378,"correct","List1","Type1","Question 2","Answer X","Answer Y"
"P6",3,"Well-formed control",2965.53121358187,"incorrect","List1","Type1","Question 3","Answer X","Answer Y"
"P6",4,"Bad control",5525.3144960515,"correct","List1","Type1","Question 4","Answer X","Answer Y"
"P6",5,"Bad control",2092.44621742389,"correct","List1","Type1","Question 5","Answer X","Answer Y"
"P6",6,"Bad control",200,"correct","List1","Type1","Question 6","Answer X","Answer Y"
"P6",7,"Well-formed control",10276.8512488495,"correct","List1","Type1","Question 7","Answer X","Answer Y"
"P6",8,"Illusion",5720.84462741593,"incorrect","List1","Type1","Question 8","Answer X","Answer Y"
"P6",9,"Bad control",2385.64327803996,"correct","List1","Type1","Question 9","Answer X","Answer Y"
"P6",10,"Bad control",200,"correct","List1","Type1","Question 10","Answer X","Answer Y"
"P6",11,"Bad control",10019.6862079673,"correct","List1","Type1","Question 11","Answer X","Answer Y"
"P6",12,"Well-formed question",16361.6290356115,"correct","List1","Type1","Question 12","Answer X","Answer Y"
"P6",13,"Illusion",5171.09954485022,"incorrect","List1","Type1","Question 13","Answer X","Answer Y"
"P6",14,"Well-formed question",7187.6518041629,"incorrect","List1","Type1","Question 14","Answer X","Answer Y"
"P6",15,"Well-formed control",10106.581388527,"correct","List1","Type1","Question 15","Answer X","Answer Y"
"P6",16,"Bad control",2022.75858460293,"incorrect","List1","Type1","Question 16","Answer X","Answer Y"
"P6",17,"Well-formed control",3499.43420946943,"correct","List1","Type1","Question 17","Answer X","Answer Y"
"P6",18,"Illusion",200,"incorrect","List1","Type1","Question 18","Answer X","Answer Y"
"P6",19,"Well-formed control",1883.52747208404,"correct","List1","Type1","Question 19","Answer X","Answer Y"
"P6",20,"Bad control",6089.42044324326,"correct","List1","Type1","Question 20","Answer X","Answer Y"
"P6",21,"Well-formed question",3069.22456285122,"dont_know","List1","Type1","Question 21","Answer X","Answer Y"
"P6",22,"Illusion",3654.69532307766,"incorrect","List1","Type1","Question 22","Answer X","Answer Y"
"P6",23,"Illusion",4020.23585279695,"incorrect","List1","Type1","Question 23","Answer X","Answer Y"
"P6",24,"Well-formed question",200,"correct","List1","Type1","Question 24","Answer X","Answer Y"
"P6",25,"Well-formed control",8484.18231423339,"incorrect","List1","Type1","Question 25","Answer X","Answer Y"
"P6",26,"Illusion",200,"incorrect","List1","Type1","Question 26","Answer X","Answer Y"
"P6",27,"Well-formed question",3365.85314351709,"correct","List1","Type1","Question 27","Answer X","Answer Y"
"P6",28,"Well-formed question",2535.34733850556,"incorrect","List1","Type1","Question 28","Answer X","Answer Y"
"P6",29,"Illusion",3638.93663458511,"incorrect","List1","Type1","Question 29","Answer X","Answer Y"
"P6",30,"Bad control",8661.5554162836,"correct","List1","Type1","Question 30","Answer X","Answer Y"
"P6",31,"Bad control",2390.4939920819,"incorrect","List1","Type1","Question 31","Answer X","Answer Y"
"P6",32,"Bad control",1773.10728356877,"correct","List1","Type1","Question 32","Answer X","Answer Y"
"P6",33,"Well-formed question",200,"correct","List1","Type1","Question 33","Answer X","Answer Y"
"P6",34,"Bad control",1703.70119137185,"correct","List1","Type1","Question 34","Answer X","Answer Y"
"P6",35,"Illusion",231.399792305612,"incorrect","List1","Type1","Question 35","Answer X","Answer Y"
"P6",36,"Illusion",5891.97452170887,"incorrect","List1","Type1","Question 36","Answer X","Answer Y"
"P6",37,"Well-formed question",1002.69166766556,"correct","List1","Type1","Question 37","Answer X","Answer Y"
"P6",38,"Illusion",5518.33515796118,"incorrect","List1","Type1","Question 38","Answer X","Answer Y"
"P6",39,"Bad control",3728.32118481904,"correct","List1","Type1","Question 39","Answer X","Answer Y"
"P6",40,"Well-formed control",200,"incorrect","List1","Type1","Question 40","Answer X","Answer Y"
"P6",41,"Illusion",1581.97440254118,"correct","List1","Type1","Question 41","Answer X","Answer Y"
"P7",1,"Illusion",7607.86438838741,"incorrect","List1","Type1","Question 1","Answer X","Answer Y"
"P7",2,"Bad control",6951.34665996648,"correct","List1","Type1","Question 2","Answer X","Answer Y"
"P7",3,"Bad control",10337.1155253772,"correct","List1","Type1","Question 3","Answer X","Answer Y"
"P7",4,"Well-formed question",4106.07150636839,"correct","List1","Type1","Question 4","Answer X","Answer Y"
"P7",5,"Illusion",200,"incorrect","List1","Type1","Question 5","Answer X","Answer Y"
"P7",6,"Bad control",1818.19131003645,"correct","List1","Type1","Question 6","Answer X","Answer Y"
"P7",7,"Well-formed question",5594.05199097778,"incorrect","List1","Type1","Question 7","Answer X","Answer Y"
"P7",8,"Illusion",11257.8902602814,"dont_know","List1","Type1","Question 8","Answer X","Answer Y"
"P7",9,"Illusion",4820.59280788924,"incorrect","List1","Type1","Question 9","Answer X","Answer Y"
"P7",10,"Illusion",8525.83102316198,"incorrect","List1","Type1","Question 10","Answer X","Answer Y"
"P7",11,"Well-formed control",8192.56491057465,"correct","List1","Type1","Question 11","Answer X","Answer Y"
"P7",12,"Well-formed control",200,"correct","List1","Type1","Question 12","Answer X","Answer Y"
"P7",13,"Well-formed question",3501.1122126716,"incorrect","List1","Type1","Question 13","Answer X","Answer Y"
"P7",14,"Illusion",9118.72048470627,"incorrect","List1","Type1","Question 14","Answer X","Answer Y"
"P7",15,"Bad control",6868.49115256905,"incorrect","List1","Type1","Question 15","Answer X","Answer Y"
"P7",16,"Well-formed question",5793.76786720132,"correct","List1","Type1","Question 16","Answer X","Answer Y"
"P7",17,"Bad control",5643.2178475524,"incorrect","List1","Type1","Question 17","Answer X","Answer Y"
"P7",18,"Well-formed control",2911.53757622198,"correct","List1","Type1","Question 18","Answer X","Answer Y"
"P7",19,"Well-formed question",200,"correct","List1","Type1","Question 19","Answer X","Answer Y"
"P7",20,"Well-formed control",10403.7203409557,"correct","List1","Type1","Question 20","Answer X","Answer Y"
"P7",21,"Well-formed question",200,"incorrect","List1","Type1","Question 21","Answer X","Answer Y"
"P7",22,"Well-formed control",1035.20940867346,"correct","List1","Type1","Question 22","Answer X","Answer Y"
"P7",23,"Illusion",6686.75811310135,"incorrect","List1","Type1","Question 23","Answer X","Answer Y"
"P7",24,"Illusion",200,"incorrect","List1","Type1","Question 24","Answer X","Answer Y"
"P7",25,"Illusion",2440.47399387104,"correct","List1","Type1","Question 25","Answer X","Answer Y"
"P7",26,"Illusion",200,"incorrect","List1","Type1","Question 26","Answer X","Answer Y"
"P7",27,"Well-formed control",7574.44229755749,"dont_know","List1","Type1","Question 27","Answer X","Answer Y"
"P7",28,"Well-formed question",5730.63630308016,"incorrect","List1","Type1","Question 28","Answer X","Answer Y"
"P7",29,"Illusion",5942.09735701218,"incorrect","List1","Type1","Question 29","Answer X","Answer Y"
"P7",30,"Well-formed question",5716.74029221789,"incorrect","List1","Type1","Question 30","Answer X","Answer Y"
"P7",31,"Illusion",6428.85570397866,"incorrect","List1","Type1","Question 31","Answer X","Answer Y"
"P7",32,"Well-formed control",7652.82177083238,"dont_know","List1","Type1","Question 32","Answer X","Answer Y"
"P7",33,"Well-formed control",200,"incorrect","List1","Type1","Question 33","Answer X","Answer Y"
"P7",34,"Illusion",3889.85636454991,"incorrect","List1","Type1","Question 34","Answer X","Answer Y"
"P7",35,"Bad control",4523.37636834689,"incorrect","List1","Type1","Question 35","Answer X","Answer Y"
"P7",36,"Well-formed question",6735.80576776106,"correct","List1","Type1","Question 36","Answer X","Answer Y"
